author,comment
yheyhenbhebheck,"Kecepatan pengiriman sangat baik ,
Harga cukup terjangkau ,
Packing cukup rapih ,
Barangnya bagus , sesuai dengan pesanan , 
Semoga laris manis 👍👍👍"
adityariandi26,Selalu setia dengan produk ERIGO. Sukses terus buat Erigo
t*****n,"Thanks Erigo, Paket nya sudah diterima dengan baik, semoga sesuai yang di order!!"
izdihaar.gayoshop,"Mantep banget bajunya. 
Ukuran pas sesuai suka bangett. 
Aku rekomendasi banget buat kalian para cowok wajib punya kaos ini"
r*****g,"Bagussss sesuai sama harga , cuma pengiriman nya aja sedikit lambat .."
t*****g,"Alhamdulillah barang sampai, kaos nya sumpah bagus banget, adem, alus banget bahannya sukakkk aaaaa next bakal order lagi sih ini. Terus free sticker juga. Sering2 adain diskon dong kak wkwkwwk. Overall bagus bgt sukakkkk"
rafshoppp,"Keren abizzz, jgn ragu belanja disini. 
Harga merakyat kualitas pejabat.
Bahannya adem gak gerah. 
Pelayanannya baik banget gila, sopan, ramah.
Pantes erigo jd brand terkenal dan banyak di gandrumi semua kalangan. 
Sukses darat laut udara!"
fitrianasrrrr,"Produk sudah sampai. Kualitas produk okee,bahan dan sablon halus. Pengemasan capat dan baik. Pengiriman ny super cepat. Okee dahh 👍👍"
annyamhar,"Pengiriman superr cepat dan kualitas prodak tidak diragukan lagii, sangat recommended bangettt
Makasihh, next bakalan oder lagi…."
widiyaapriyantipartii,"Mantap mantap mantap mantap ... 
Semoga suamiku suka 🥰
Cintai produk indonesia .. Bangga ERIGO 😍"
laisaaa,"Paketnyaa sudah sampai, pengiriman cepat bgt, harusnya sih sampe 2 hari krn sy ga dirumah jadi 3 hr hehe, kaosnya bagus pas adik sy suka. Thank u erigoo"
a*****8,"Bagus banget kaos nya, tpi slah size trnyata kgedean🤣tpi gpp biar awet kepake nya, agak tipis tapi enak dipake nya nyaman,lembut👌"
r*****y,"Sdh punya bbrp kaos erigo .. dan msh mau terus nambah lagi 😁. Kaosnya enak dipake, ngga panas, ngga tll tebal jadi cocok dgn iklim jkt. Sablon nya ok dan keren. Sukses erigo ! Thanks ya .."
riechess,"Pengemasan rapiih, bahan adem lembut.. 😊
Tanks erigo n shopee..  🙏🙏"
sintha_naimea,
fatihhobah,Kualitas baik harga murah dapet diskon pengiriman baik pengemasan baik terimakasih
d*****a,Aaaaaa seneng bgt nyampenya cuma 1 hari doang. Beneran di usahain dong paperbag nya xixi🤗🤗 makasih banyak ya min makasssiiiihhhhh bangett. Tuhan Yesus memberkati semuanyaaaa.
nurwangsih_27,"Pengiriman cepattt,,,,bahannya adem bangetttt,,,,realpict 👍👍👍👍👍👍👍🥰🥰🥰🥰 trimakasijhhhh semoga amanah👍👍🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰"
apriabudhipamungkas,"Kaosnya keren... Suka jg sama kualitas sablonnya... Pengiriman cepat... Alhamdulillah... Trims , sukses selalu😇👍"
jokojayamotor,"Mantap dah pokok nya, tapi kali ini untuk pngiriman agak ada kendala dlm penyotiran, estimasi waktu harus nya 3 ini jadi 4 hari. Tapi Alhamdulillah barang nya sampai dengan selamat dan tidak ada yang cacat"
nitaafatmawati19,"Kemarin siang pesen, hari ini dateng❤️‍🔥 waaaaaaa suka bangettttt 🥰"
d*****a,"baju sejutaaa umat, akhirnya setelah berbulan2 dikeranjang dicheckout juga berkat 12.12 dapet harga diskon, masyaallah sukadeeeh pokonya, luv erigo."
s*****h,Pembelian pertama aku ... yeyy .. ternyta emang bner produk erigo cihuy bgt dahh .. kaos nya adem .. bagus .. produk terpecaya .. suami pun syukak ... alhamdulillah .. terima kasih bnyak erigo dan atas pengiriman nya sangat cepatt sekalii . Dan kurir nya pun ramah .. makasih ... luv dahh
abdul_mumin,Bahan bagus adem jahitan rapi kualitas sablon oke.... Recomended
24_attar,"Bahannya adem n nyaman 
Pengiriman juga lumayan cepet
Packing aman n rapihh
Free stiker lagi"
shelanafisa,"Bagus banget bahannya adem, pengiriman nya cepet banget, selalu puas beli di Erigo sukses terus buat Erigo terimakasih shopee"
deden_taufik1987,"Jaket dan kaosnya sangat berkualitas, adem dan sangat bagus"
sintaa150600,"Paket datang tadi sore barengan sama paket lainnya😁 bahan bajunya adem, semoga gak gampang melar deh yaa. Tapi agak kegedean yg ukuran L..."
cakracakradoang,"Mantaaab, pengiriman cepat, kurirnya ramah, top markotop dah, barang sesuai pesenan,"
s*****0,"Harga terjangkau dan pengiriman cepat,kaosnya bagus sekali."
pikal1210alfarizi,
r*****o,"Uk sesuai . .cukup puas
Untuk bahan halus .adem .semoga kedepan ada uk oversize 3xl . . ."
selinika,Aaaaaaaaaa suka banget bahannya adem lembut gk bikin panas pas di pake pokoknya best lah..
r*****i,"kainnya lembut,adem,nyaman,gk bikin panas pokoknya mantap deh nyesel kalo gk beli"
sonyasanjaya,"bahan nya adem jahitan rapih, thebest pokonyaa!!! thx erigo"
wiverg_,Ukuran ny agak lbh kecil dr ekspektasi. Soalnyapunya aku pesen yg L cocokan utk ukuran M :( mana buatclagi
i*****6,"Bahan nya bagus,GK murahan menurut aku,dengan harga segitu,udah Bagus banget"
ciciriyanti85,"Bahan adem
Anak suka
Harga standart
Pokoknya best dech"
a*****h,"Mantap baranganya sudah sampai dengan selamat, bahan nya bagus beli pas lagi flash sale, mantap"
nandafirda20,"Bagus kainnya halus adik aku suka bngt hehe, cm pengirimannya aja agak lama mungkin karna 11.11 membludak selebihnya gk ada masalah sih♥️"
jilianpetta,
imam04rajo,"Terima kasih pesanan sudah diterima kak,  pengiraman juga lumayan cepet semoga lancar terus rejeki semuanya sekali lai terimakasih banyak kakak...
Lancar terus rejekinya !!!!"
agussetiawan30888,"Pengiriman cepat, kemasan rapi, barang mantappp guys"
n*****_,"Bagus bgt bahannya, adem, lembut, trs datengnya juga cepat, ukurannya juga pas sih ga kegedean dan ga kekecilan."
ajxml_nmm9,"Paket sudah sampai dengan selamat. Packaging aman krn isinya kaos. Harga discount (59 rb) Shopee Mantul Sale. Pengiriman cepat. Gratis ongkir SMS.
Kesan pertama kualitas standar (sedikit ""nerawang""), jahitan cukup rapi (finishing bagian dalamnya yg agak kurang).
Terima kasih."
j*****5,"Pengemasan lama, kualitas jelek, bahan tipis panas, jahitan gak rapi, nyesal beli disini, pertama belanja dibrand ini sangat kecewa menang nama aja, rencana kasih kado jadi mikir, malu"
triyuni22,"Mantap suka bahan ny bagus , pengiriman cepat 👍👍👍 next order lgi"
n*****9,"Yeaayyyy punya kaos erigoooo...
Dapat harga diskonnnnn lagi....
Bahannya ademmmm..."
f*****2,"bagus banget pokoknyaa recomend, bakal jadi baju favorit nih"
r*****n,"produk original, harga sesuai kualitas, pengemasan dan pengiriman standar. terimakasih"
adaysyahputra,Mantab barang sampai sesuai pesanan dan pengiriman sangat cepat .good seller 👍
e*****i,Bahan adem bagus dari segi packaging juga bagus pokonya langganan dehh...
nur_setiawati,"Baru pertama order tapi udah sesuka itu 😍😍😍😍 sesuai ekspektasi emang top deh erigo👍👍 pengemasannya juga cepat walaupun lagi banjir orderan 🥰🥰 Bahannya bagus, motif juga bagus"" , kualitas sablonnya juga gag kaleng kaleng.. Next bakal order lagi pastinya .. 
Sering sering ngadain flash sale ya"
a*****d,"Bagus sih sablonnya & kaos nya juga adeem, tp ini panjang kebawah yaa, ld. Nya yg size L cuma di ±84cm, jadi ngepas banget di aku."
aprelliasub26,Untuk kualitas bahannya baguss kok dengan harga segituu adem banget kainnyaa trs oengirimannyaa lumayan cepet jugaa kokkk!! terimakasi seneng banget😍
kaysa2,"Sukaaaaa banget, sudah langganan sama merk Erigo, sudah cocok... Baik kaos maupun celana nya"
i*****3,"Bagus, bahannya ga panas tp rada tebel terus  keringat juga"
mita_chim,Aaaaa akhirnya dateng jugaaa.. akhirnya yg ditungu tunggu... bahannya bagus bangett asli.. sablon nya bagus juga 🥰 luv deh sama produk erigoo hehehe
r*****7,"Pengiriman : sehari sampai👍🏻👍🏻👍🏻order kamis hari jumat sampai ( ekspress delivery )

Bahan : katun / menyerap keringat / lembuuuut

Sablon : sangat baik / bagus 

Free : 2 stiker 

Order saat flash sale

Intinya : sangat memuaskan👍🏻sukses selaluuuuu"
c*****6,"udah kesekian kalinya beli di erigo, dan barangnya emg beneran bagus, ga ngecewain thank u erigo ❤️"
z*****2,"Ughh mantappp,, suka banget sama bahannya... Apalagi suka aku kalau ukurannya oversize, selalu pakai yang XXL, hehehe🤣 mantapp polll lahhh"
mancepu01,Wah sip produk nya the best semua Erigo memang terbaik langganan terus nih kain nya adem pengiriman super cepat 2 hari nyampe ntaps...
indahpurnamawati055,bahannya bagus gambar sesuai kualits ok pengi riman cepat harganya murah
alikaalin84,Paketan sudah sampai.pengiriman cepat dan bungkusnya juga rapi.asli bagus bget kainnya pokoknya recommended deh.makasih suka banget deh
nindiaputrihapsari,"bajunya bagus, dapet harga flash sale juga lumayan, cuman pas dateng dibajunya ada putih gitu"
titaaamasitoh_29,Aghhh lagi lagi dan lagi dibikin gemes sama erigooo makasi bnyk barang sampe dengan aman kurirnya pun sllau baikk sukses yaa erigooo
llestariiw,Alhamdulillah paket udh nyampe ga nyangka kainnya sebagus itu pengemasan pengiriman super kilat makasih seller sukses selalu❣️❣️❣️
lithanis,"Trimakasih kak
Pengirimannya cepat 
Packingannya aman dan rapi😉👍
Dapat stikernya jgaa👍 tp tdak smpat di fto😁"
